LCC,Yr.,Title
BT30 .G3F67 1992,1992,Christian Faith in Dark Times
BT30 .N7 H35 1988,1988,Thinking the Faith
BT30 .S5 F76,1985 P,From South Africa- A Challlenge to the Church!: Three Significant Documents
BT30 .S5 K34,1986,The Kairos Document: Challenge to the Church
BT301 .E3 v.1,1910,The Life and Times of Jesus the Messiah volume 1
BT301 .E3 v.2,1910,The Life and Times of Jesus the Messiah volume 2
BT301 .L8,1928,Son of Man
BT301 .L8,1928 H,The Son of Man
BT301.2 .B583 1960,1960,Jesus of Nazareth
BT301.2 B6963,1965,The History of Jesus Christ
BT303.2 .B59,1994,Meeting Jesus Again for the First Time
BT303.2 .D79,1979,Jesus Christ Through History
BT310 .V2,1905,The Childhood of Jesus Christ
BT317 .B73,1973,The Virginal Conception and Bondily Resurrection of Jesus
BT36.15 .S77 2002,2002 P,"Strike Terror No More: Theology, Ethics, and the New War"
BT36.4 .D6 1970,1970 P,The Non-violent Cross: A Theology of Revolution and Peace
BT36.4 .N37 1986,1986 P,"Guidelines: Peace, Freedom and Security Studies"
BT36.4 .N37 1986,1986 P,"Guidelines: Peace, Freedom and Security Studies"
BT36.6 .V36 1982,1982 P,Christians and Nonviolence in the Nuclear Age
BT36.6 .V36 1982,1982 P,Christians and Nonviolence in the Nuclear Age
BT36.6 U55 1990,1990 P,The Universe Bends Towards Justice
BT375 .T5,1959,The Waiting Father
BT375.2 .T5,1959,The Waiting Father
BT375.3 .J67,1976,Cotton Patch Parables of Liberation
BT380 .A3 1957,,The Gospel from the Mount
BT380 .B67413,1958,The Cost of Discipleship
BT380 .J6 1931,1931,The Christ of the Mount
BT380 .L56 v1,1959,Studies in the Sermon on the Mount volume 1
BT380 .L56 v2,1959,Studies in the Sermon on the Mount volume 2
BT380.2 .D35,1966,The Sermon on the Mount
BT380.2 .J67 1970,1964,Practical Religion of The Sermon on the Mount
BT40 .B67 1955,1962,"Kierkegaard, Heidegger, Buber and Barth"
BT40 .F54 1955,1955,New Essays in Philosophical Theology
BT40 .H35,1960,New Accents in Contemporary Theology
BT40 .L49,1970,Our Experience of God
BT40 .M35,1965,An Existentialist Theology
BT40 .T5,1959,Theology of Culture
BT431 .W35 1992,1992,Reliving the Passion
BT480 .N54,1957,Resurrection and Historical Reason
BT480 .W4,1953,The Resurrection and the Life
BT481 .T67,1976,"Space, Time and Resurrection"
BT50 .F4,1946,Faith and Reason
BT530 .H85 1953,1953,A Pattern for Life
BT55 .R6,1963,Honest to God
BT55 .R62,1965,The New Reformation
BT55 .R63 E4 1963,1963,The Honest to God Debate
BT60 .H3713 1957,1957,What is Christianity?
BT65 .B313,1963,Evangelical Theology
BT65 .F67 2000,2000,Theology: A Very Short Introduction
BT695 .G5,1959,Maker of Heaven and Earth: The Christian Doctrine of Creation in the Light of Modern Knowledge
BT695 .K35 1991,1991,Creation and the History of Science
BT695 .K35 1991,1991,Creation and the History of Science
BT695 .O25,1969,Creation: The Impact of an Idea
BT695 .S64 1984,1984,To Work and To Love
BT695 .T38 1985,1985,The Andrew Project
BT695.5 .B467 1995,1995 P,Befriending the Earth: A Theology of Reconciliation Between Humans and the Earth
BT695.5 .B69,2001,For the Beauty of the Earth
BT695.5 .C6335 1992,1992,"Sustainability: Economics, Ecology and Justice"
BT695.5 .L52 1990,1990,Liberating Life: Contemporary Approaches to Ecological Theology
BT695.5 .L52 1990,1990,Liberating Life: Contemporary Approaches to Ecological Theology
BT695.5 .L68 2009,2009,Love God Heal Earth
BT695.5 .L68 2009,2009,Love God Heal Earth
BT695.5 .L68 2009,2009,Love God Heal Earth
BT695.5 .M37 2003,2003,Christian Environmental Ethics
BT695.5 .N37 1991,1991 P,Loving Nature: Ecological Integrity and Christian Responsibility
BT695.5 .P7 1985,1985 O,Pro-Earth
BT695.5 .P7 1985,1985 O,Pro-Earth
BT695.5 .P7 1985,1985 O,Pro-Earth
BT695.5 .R37 1996,1996 H,Earth Community Earth Ethics
BT695.5 .R47   ,1990,Restoring Creation for Ecology and Justice
BT695.5 .R470 1990,1990 P,Restoring Creation for Ecology and Justice
BT695.5 .R83 1992,1992,Gaia & God
BT695.5 .R83 1992,1992,Gaia & God
BT695.5 .R83 1992,1992 H,Gaia & God: An Ecofeminist Theology of Earth Healing
BT701 .C47,1955,Hardness of Heart
BT701 .M613,1961,The Meaning of Man
BT701 .N5213,1949,The Nature and Destiny of Man
BT701 .S57,1956,The New Man: Christianity and Man's Coming of Age
BT701.2 .C865 1985,1985,Only Human
BT701.2 .K4,1973,Apology for Wonder
BT701.2 .R87,1982,Becoming Human
BT701.2 .S5,1974,New Directions in Theology Today volume 4: Man- the New Humanism
BT701.2 .W513,1961,Creation and Law
BT706 .B313,1968,On Marriage
BT706 .U6 R48 1962,1962,Responsible Marriage and Parenthood
BT708 .C85 1986,1986,Being Sexual and Celibate
BT708 .D55,1979,Dimensions of Human Sexuality
BT708 .I87,1979,Issues in Sexual Ethicas
BT708 .J48,1975,Man as male and Female
BT708 .N43 1983,1983,Between Two Gardens
BT708 .N44,1978,Embodiment
BT708 .S66 1988,1988,Living in Sin
BT708 .W44 1989,1989,A Sense of Sexuality
BT715 .T23 2001,2001,Speaking of Sin
BT732 .W84 1985,1985,"Prayer, Stress, and Our Inner Wounds"
BT732.5 .K4,1973,Healing and Christianity
BT732.5 .M334,1974,Healing
BT732.7 .H35 1989,1987,God on the Witness Stand
BT734.2 .B613 1959,1959 H,The Bridge is Love
BT734.2 .M4,1964,Seeds of Destruction
BT734.3 .R3 1961,1961 H,Christian Ethics and the Sit-In
BT734.3 .R3 1961,1961 H,Christian Ethics and the Sit-In
BT736.15 .B76,1973,Religion and Violence
BT736.15 .E413,1969 H,Violence
BT736.15 .G64 2005,2005 P,Haunts of Violence in the Church
BT736.15 .H8313 1996,1996 P,Violence: The Unrelenting Assault on Human Dignity
BT736.15 .M4,1968 P,Faith and Violence: Christian Teaching and Christian Practice
BT736.15 .M4,1981,Faith and Violence
BT736.15 .S56 1989,1989 P,Nonviolence: The Invincible Weapon?
BT736.15 .T68,1978,The Violence Within
BT736.15 .V26 1978,1978 P,The 1978 Peace Calender: Nonviolent Struggle Around the World
BT736.15 .V26 1978,1978 P,The 1978 Peace Calender: Nonviolent Struggle Around the World
BT736.2 .B3 1978,1978 P,Christian Attitudes Toward War and Peace: A Historical Survey and Critical Re-evaluation
BT736.2 .L6,1963 P,War and Conscience in America
BT736.2 .W344,1981,War: Four Christian Views
BT736.4 .C34 1994,1994 P,"Love Your Enemies: Discipleship, Pacifism, and Just War Theory"
BT736.4 .C34 1994,1994,Love Your Enemies
BT736.4 .G85,1986 P,"Guidelines: Peace, Freedom and Security Studies"
BT736.4 .K4x  ,1975,Lordship as Servanthood
BT736.4 .L87 1983,1983 P,Peace Ways: 16 Christian Perspectives on Security in a Nuclear Age
BT736.4 .M22,1976 P,Peaceworld
BT736.4 .O5,1978 P,On Earth Peace
BT736.4 .P42 no.5,1986 P,The Struggle for Liberation in South Africa
BT736.4 .P47 1988,1988 P,Peacemaking in a Nuclear Age
BT736.4 .P73,1982,Preaching on Peace
BT736.4 .R43 1997,1997,The Reconciliation of Peoples
BT736.4 .S52 1983,1983 H,What Are They Saying About Peace and War?
BT736.4 .U5,1980 P,Peacemaking: The Believers' Calling
BT736.4 .U55 1980,1980 P,Peacemaking: The Believers' Calling
BT736.4 .U55 1980,1980 P,Peacemaking: The Believers' Calling
BT736.6 .G84,1973 P,Peace and Nonviolence: Basic Writings
BT736.6 .W55 1987,1987 P,Violence and Nonviolence in South Africa: Jesus' Third Way
BT736.6 .Y62 1992,1992 P,What Would You Do?: A Serious Answer to a Standard Question
BT738 .G8613,1973,A Theology of Liberation
BT738 .R345,1968,The Righteousness of the Kingdom
BT738 .W56 1981,1981 H,Until Justice & Peace Embrace
BT738.15 .M64 1984,1984,On Human Dignity: Political Theology and Ethics
BT738.3 .B76,1971,The Christian Revolutionary
BT738.3 .R8 1970,1970,The Radical Kingdom
BT738.5 .R5,1954,The Biblical Doctrine of Work
BT738.5.I4 2003,2003,The Sanctification of Work
BT75 .A763,1948,The Faith of the Christian Church
BT75 .B283 v.1 pt.1,1960,Church Dogmatics: volume 1 The Doctrine of the Word of God part 1
BT75 .B283 v.1 pt.2,1956,Church Dogmatics: volume 1 The Doctrine of the Word of God part 2
BT75 .B283 v.4 pt.1,1956,Church Dogmatics: volume 4 The Doctrine of Reconciliation part 1
BT75 .B83,1907,Christian Theology in Outline
BT75 .B89 v.2   ,1952,The Christian Doctrine of Creation and Redemption
BT75 .C78,1912,The Christian Faith
BT75 .H536 1957,1957,Christian Faith and Natural Science
BT75 .H63 v1,1906,Systematic Theology Vol. 1
BT75 .H63 v2,1906,Systematic Theology Vol. 2
BT75 .H63 v3,1906,Systematic Theology Vol. 3
BT75 .H68 1958,1958,Christian Theology: An Ecumenical Approach
BT75 .R607,,The Ritschlian Theology and the Evangelical Faith
BT75 .S5 C5,1956,The Christian Faith
BT75 .S83 v1,1907,Systematic Theology: Volume 1 The Doctrine of God
BT75 .S83 v2,1907,Systematic Theology: Volume 2 The Doctrine of Man
BT75 .S83 v3,1907,Systematic Theology: Volume 3 Doctrine of Salvation
BT75.2 .M3 1977,1977,Principles of Christian Theology
BT75.2 .P2613 1991,1991,An Introduction to Systematic Theology
BT75.2 .R3313,1978,Foundations of Christian Faith
BT75.2 .T5 1951,1951,Systematic Theology
BT75.2 .T5 1967 v.3,1967,Systematic Philosophy v.3
BT761.2 .C33,1997,Between Noon and Three
BT761.2 .F713 1965,1965,Divine Grace and Man
BT761.2 .W35,1959,The Concept of Grace
BT764 .M5,1956,The Renewal of Man
BT767.3 .O25,1971,The Eighth Day of Creation
BT77 .B345 1959,1959,Dogmatics in Outline
BT77 .B865,,Our Faith
BT77 .C23 1982,1982,An Offering of Uncles
BT77 .C277,1974,Hunting the Divine Fox
BT77 .G78,1953,Peace with God
BT77 .H413,1970,What are the Theologians Saying?
BT77 .R63,1967,But That I Can't Believe!
BT77 .S745,1964,Free in Obedience: The Radical Christian Life
BT77 .S745,1964,Free in Obedience
BT77 .W39 1990,1990,The Christian Agnostic
BT771 .G65,1902,The New Epoch for Faith
BT771 .T54 1958,1958,Dynamics of Faith
BT771.2 .E213,1959,The Nature of Faith
BT771.2 .E4413 1983,1983,Living Faith
BT771.2 .M28,1979,Beyond Our Tribal Gods
BT772 .N5,1972,Experiential Religion
BT775 .B78 1952 v.2,1952,The Christian Doctrine of Creation and Redemption: Dogmatics vol 2
BT78 .B874 1964,1964,Truth as Encounter
BT78 .C83 1962,1962,Christ and Time
BT780 .R66,1960,Conversion
BT795 .K73,2007,Amish Grace
BT795 .M3,1961,The Christian Experience of Forgiveness
BT80 .N6,1966,The Lord of the Absurd
BT80 .P3413 v1,1971,Basic Question in Theology volume 1
BT80 .P3413 v2,1971,Basic Question in Theology volume 2
BT810 .B733,1954,Eternal Hope
BT810 .V36x 1966,,Pierre Teilhard de Chardin
BT810.2 .S64 1993,1993,On Earth as in Heaven
BT810.2R87,1974,Human Libertation in a Feminist Perspective - A Theology
BT821 .B24,1955,Dialogue on Destiny
BT821.2 .M6313 1967,1967,Theology of Hope
BT821.2 .R6,1958,"In the End, God..."
BT825 .G55 1992,1992,Decisions About Death
BT825 .T4713,1970,Death and Life
BT83.5 .A46,1966,Radical Theology and the Death of God
BT83.55 .F744 1993,1993 P,Freeing Theology: The Essentials in Theology in Feminist Perspective
BT83.55 .R84 1993,1993 P,Sexism and God-Talk: Toward a Feminist Theology
BT83.57 .B613 1984,1985,Salvation and Liberation
BT83.57 .M53,1975,Doing Theology in a Revolutionary Situation
BT83.57 .N69 1986,1986,Will it Liberate?
BT83.57 .O36,1979,Faith and Freedom
BT83.57 .V55,1990,Yearning to Breathe Free
BT83.6 .C6,1976,Process Theology
BT83.6 .S66,1979,Faith and Process
BT83.7 .C87 2001,2001,Reforming Christianity
BT83.7 .C87 2001,2001,Reforming Christianity
BT83.7 .K3,1971,The Way of Transcendence
BT83.7 .S6 1968,1968 P,Secularization and the University
BT83.85 .M82 no.40,1996,"Growing Together in Communion: LWF Documentation 40, December 1996"
BT83.85 .M82 no.41,1997,"Theological Perspectives on Other Faiths: LWF Documentation 41, 1997"
BT846.2 .M37 1989,1989,Heaven: A History
BT872 .C813,1962,Immortality of the Soul or Resurrection of the Dead?
BT872 .C813,1960,Immortality of the Soul or Resurrection of the Dead?
BT88 .R24,1965,The Pattern of Religious Authority
BT88 .R87 1987,1987,Household of Freedom: Authority in Feminist Theology
BT921 .B23,1961,And the Life Everlasting
BT921 .F234,1912,The Little Book of Life After Death
BT921 .G45,1893,Witness to Immorality
BT923 .S74,1965,Immortality and Resurrection
BT93.8 .A86 1989,1989 P,"Justice, and Only Justice: A Palestinian Theology of Liberation"
BT94 .B75,,The Kingdom of God
BT94 .H33,1971,Kingdoms of Man and the Kingdom of God
BT94 .J55,1937,The Choice Before Us
BT94 .J58,1940,Is the Kingdom of God Realism?
BT94 .K7,1978,The Upside-Down Kingdom
BT94 .N5 1959,1959,The Kingdom of God in America
BT94 .P33,1952,Theology and the Kingdom of God
BT96 .W42,,The Will of God
BT97 .N52,,Two Essays on Biblical and on Ecclesiastical Miracles
BT98 .A65 1993,1994,A History of God
BT98 .H5,1964,The Existence of God
BT98 .K4,1969,The Five Ways
BT98 .M8,1964,The Problem of God
BT980 .R63,1945,The Devil's Share
BT990 .W5513,1981,Credo
BT993 .B273,1965,The Faith of the Churth
BT999 .P65 1994,1994,The Faith of a Physicist
BT999 .P65 1994,1994,The Faith of a Physicist
BV10 .U5 1957,1957,Worship
BV1471.2 .T43 1954,1953,Theology in the New Curriculum
BV1471.2 .W55 1955,,Christian Teaching and Christian Beliefs
BV1471.2 W55 1955   ,,Christian Teachings and Christian Beliefs
BV1475 .O4,,Our Little Child Faces Life
BV15 .D39,1999,"A Royal ""Waste"" of Time"
BV15 .K48 2003,2003,The Emerging Church
BV1533 .C6 K4 1967,1967 P,Happiness is a Teacher
BV1533 .C6 K4 1967,1967 P,Happiness is a Teacher
BV1533 .M68 1951,1951 P,Why Am I Teaching?: A Guidebook
BV1533 .M68 1951,1951 P,Why Am I Teaching?: A Guidebook
BV1533 .M68 1951,1951 P,Why Am I Teaching?: A Guidebook
BV1533.U54 1958,1958,Group Teaching
BV1610 .C58 1948,1948 P,The Task of the Christian in the University
BV1610 .P7 1959,1959,A Basis for Study
BV1610 .W25 1962,1962 H,Campus Gods on Trial
BV1652 .L87 1987,1987,Suprising Gift
BV185 .B734 1992,1992,The Search for the Origins of Christian Worship
BV2030 .M5 no.2,1975,Mission Trends No.2: Evangelization
BV2030 .M5 no.3,1978,Mission Trends No.3: Third World Theologies
BV2030 .M5 no.4,1979,Mission Trends No.4: Liberation Theologies
BV2030 .M5 no.5,1981,Mission Trends No. 5: Faith meets Faith
BV2063 .D5 1956,1956,Christianity and Communication
BV2063 .K7,1938,The Christian Message in a Non-Christian World
BV207 .H8,1947,Prophetic Prayer
BV207 .L44 1977,1977,Understandings of Man
BV2070 .A53,1974,Mission Trends No. 1: Crucial Issues in Mission Today
BV210 .B788,,Prayer
BV210 .C55,1948,The Soul's Sincere Desire
BV210 .L37,,Prayer: the Mightiest Force in the World
BV210.2 .F68 1992,1992,Prayer: Finding the Heart's True Home
BV210.2 .F69 1976,1976,On Becoming a Musical Mystical Bear: Spirituality American Style
BV210.2 .H394 1981,1981,Pray All Ways
BV210.2 .N68,1972,With Open Hands
BV210.2 .P65,1974,He touched me
BV210.2 .R2613,1993,On Prayer
BV215 .H35 1990,1990,Teach Us to Pray
BV230 .C6,1932,The Lord's Prayer
BV230 .D684 1990,1990,Prayers of the Cosmos
BV245 .H39,1988,Prayers for a Planetary Pilgrim
BV245 .H41 1959,1959,He Sent Leanness
BV245 .M48,1954,The Prayers of Peter Marshall
BV260 .B3 1949,1949,A Diary of Private Prayer
BV260 .H38,1962,Shout for Joy
BV2765 .S7,1960,Safe in Bondage
BV283 .C7 B6,1960,The Student at Prayer
BV3 .S46 1988,1988,Christian Caring
BV30 . L46,1977,The Irrational Season
BV30 .L46,1977,The Irrational Season
BV3265 .J66,1939,Along the Indian Road
BV3457 .K3 A8,1932,Kagawa
BV3625.G3 S363,1948 H,On the Edge of the Primeval Forest & More from the Primeval Forest
BV372 .A3,,The Hymnal
BV3790 .07 1911,1911,Light on Soul Winning
BV3793 .S45,1957,The Experiment of Faith
BV3793 .T48 2002,2002,The Theology of the Cross for the 21st Century
BV4+A175596 .S35 H43 1997,1997,Being a Christian in Science
BV4006 .S3413 1985,1985,The Church with a Human Face
BV4011 .N682,1981,The Way of the Heart
BV4011 .N683,1972,The Wounded Healer
BV4012 .H5,1967,Insearch: Psychology and Religion
BV4012 .O24,1957,Religious Factors in Mental Illness
BV4012.2 .H6,1963 P,The Miracle of Dialogue
BV4012.2 .H8,1956,Counseling and Theology
BV4051.2 .H5654,1997,Then Shall your Light Rise
BV4211 .S6943,1963,Encounter with Spurgeon
BV4211.2 .S5,1961,The Ecology of Faith
BV4211.2 .W53,1992,Peculiar Speech
BV4216 .W513,1949,The Living Word
BV4241 .D28,1956,Sermons from an Ecumenical Pulpit
BV4244 .S3613,1969,Reverence for Life
BV4253 .L56,1988,Spiritual Depression
BV4253 .T58,1955,The New Being
BV4277 .V5,1966,"My God, Why?"
BV4376 .S57 1977,1977,Running with the Hounds
BV4390 .S313,1968,Celibacy
BV4404 .G7,1986,Voluntary Religion
BV4447 .F5435 1995,1995 P,Would You Rather..?: 465 Provocative Questions to Get Teenagers Talking
BV4490 .A48 1983,1983,Three Outsiders
BV4501 .G67,1946,The Practice of Religion
BV4501 .H2785,1959,Religious Living
BV4501 .J5788,1930,The Christ of Every Road
BV4501 .S467,1963,The Struggle of the Soul
BV4501.2 .B7668 1988,1988,Spirituality and Liberation
BV4501.2 .C265 1990,1990,"Health, Money, and Love"
BV4501.2 .C866,1997,The Sacred Romance
BV4501.2 .F655 1978,1978,Celebration of Discipline
BV4501.2 .F67,1981,"Whee! We, wee All the Way Home"
BV4501.2 .F767,1980,Decision Making and the Will of God
BV4501.2 .I58 1999,1999,Invitation to Christian Spirituality
BV4501.2 .I58 1999,1999,Invitation to Christian Spirituality
BV4501.2 .L865,1994,Truthful Living
BV4501.2 .M22,1960,Putting Faith to Work and Strengthening the Spiritual Life
BV4501.2 .M2357,1999,Christian Spirituality
BV4501.2 .M478,1978,The Becomers
BV4501.2 .M479,1974,The Edge of Adventure
BV4501.2 .M479 guide,1974,The Edge of Adventure: Leader's Guide
BV4501.2 .M4795 guide,1975,Living the Adventure: Leader's Guide
BV4501.2 .M48,1967,A Second Touch
BV4501.2 .M483 1965,1965,The Taste of New Wine
BV4501.2 .N63,1998,Amazing Grace: A Vocabulary of Faith
BV4501.2 .P313 1990,1990,The Active Life
BV4501.2 .P314,1980,The Promise of Paradox
BV4501.2 .R85,1979,The Future of Partnership
BV4501.2 .R854,1981,Growth in Partnership
BV4501.2 .T3,1962,The Disciplined Life
BV4501.2 .W473 1984,1984,Seasons of Strength
BV4502 .T613,1966,The Person Reborn
BV4503 .B622,1963,Life Together
BV4503 .B622,1954,Life Together
BV4503 .T5213,1979,Being a Christian When the Chips are Down
BV4509.5 .B46 1986,1986,Open to God
BV4509.5 .D25,1990,Monastery Without Walls
BV4509.5 .M65 1985,1985,Let This Mind be in You
BV4580 .A45,1994,Aging and God
BV4596 .S35 H43 1997,1997,Being a Christian in Science
BV4597.3 .E39,1984,The Religious Affections
BV4612 .M6,1960 H,The Elements of Moral Theology
BV4612 .M6,1960 H,The Elements of Moral Theology
BV4625 .M46,1973,Whatever Became of Sin?
BV4633 .T5,1971,"Love, Power and Justice"
BV4637 .B8,1974,Is Faith Obsolete?
BV4637 .F66,1985,Life Maps
BV4637 .L94,1973,Images of Faith
BV4638 .E4413,1973,Hope in Time of Abandonment
BV4639 .C55,1947,The Way of Love
BV4639 .H67,1961,Herein is Love
BV4639 .K39,1981,Caring: How Can We Love One Another?
BV4639 .L45 1960,1960,The Four Loves
BV4639 .M36 1971,1971 P,On Caring
BV4639 .M36 1971,1971 P,On Caring
BV4639 .N813,1953,Agape and Eros
BV4639 .T52354 1970,1970 P,Love-Justice: A Contemporary Study of Modern Ethics
BV4639 .T52354 1970,1970 P,Love-Justice: A Contemporary Study of Modern Ethics
BV4645 .P513,1965,the Four Cardinal Virtues
BV4647 .P6 L57,1973,Religious Poverty and the Profit Economy in Medieval Europe
BV4647 .S9 M38,1982,Compassion: A reflection on the Christian Life
BV4655 .H374 2005,2005,Losing Moses on the Freeway
BV4740 .S34 2004,2004,Vocation: Discerning our Callings in Life
BV4740 .V62 2006,2006,Vocation Voices at Luther College
BV4801 .K6,1945,Something to Live By
BV4801 .M33 1989,1989,Earlist Christian Meditations
BV4801 .O23 1971,1971,Our Many Selves
BV4805 .Z91,1975 P,The Advent of Women: Twenty-Five Meditations
BV4810 .W67,1978,For All God's People: Ecumenical Prayer Cycle
BV4811 .M24 1994,1994,Diary of an Old Soul
BV4813 .K44,1976,The Other Side of Silence
BV4813 .M4,1973,Meditation in Christianity vol1
BV4813 .M43,1971,Contemplative Prayer
BV4817 .D84 1979,1979,The Reasons of the Heart
BV4817 .W413,1950,Waiting on God
BV4821 .K44,1961,The Imitation of Christ
BV4823 .C6225,1956,Joy in Believing
BV4832 .F6,1946,"The Three Meanings: Prayer, Faith, Service"
BV4832 .J45,1935,Abundant Living
BV4832 .J457,,Growing Spiritually
BV4832 .J46,1950,How to Be a Transformed Person
BV4832 .J465,1950,Mastery: The Art of Mastering Life
BV4832 .J476,1946,The Way to Power and Poise
BV4832.2 .B68,1967,"Free to Live, Free to Die"
BV4832.2 .J599,2000,Beyond Guilt
BV4832.2 .P75,1981,The Well and the Cathedral
BV4832.2 .S548,1974,Take More Joy
BV4905.2 .M32 1985,1985,A Tearful Celebration
BV4905.2 .W45,1972,Good Grief
BV4908.5 .L83,2009,Fearless Small Group discussion guide
BV4935 .L5 A3,1959,From Pagan to Christian
BV5053 .L43 1980,1980,Soul Friend
BV5080 .B64 E4,1958,Six Theosophic Points
BV5080 .H5413,1990,Hildegard of Bingen
BV5080 .J642,1987,John of the Cross
BV5080 .J77593,1962,Ascent of Mount Carmel
BV5081 .U55 1955,1958,Mysticism
BV5091 .C7 M4 1981,1981,The Ascent to Truth
BV598 .D578 1951,1951,The Structure of the Divine Society
BV598.2 .P43 1993,1993,The Road Less Traveled
BV600 .B852,,The Significance of the Church
BV600 .B8663,1962,The Misunderstanding of the Church
BV600 .G85,1961,Treasure in Earthen Vessels
BV600 .N4,1957,The Unfinished Task
BV600 .S583,1957,Tests of a Living Church
BV600.2 .S283,1981,A Christian Manifesto
BV601.6 .I5 K813,1971,Infallible?: An Inquiry
BV601.8 .H35 1988,1988,The Stewardship of Life in the Kingdom of Death
BV603 .P3,,"Spirit, Faith, and Church"
BV630.2 .B76 1986,1986 P,Saying Yes and Saying No: On Rendering to God and Caesar
BV630.2 .B76 1986,1986 P,Saying Yes and Saying No: On Rendering to God and Caesar
BV637 .M3,1965,Babylon by Choice
BV637 .W54,1963,The New Creation as Metropolis
BV637.7 .W5,1961,The Suburban Captivity of the Churches
BV639 .W7 D28,1985,"The Church and the Second Sex
"
BV639 .W7 M25 1992,1992,Readings in Her Story
BV640 .J4,1965,Beyond Religion
BV652.9 .D83 1987,1987,New Testament Tensions and the Contemporary Church
BV660 .N5,1929,Leaves from the Notebooks of a Tamed Cynic
BV687 .G5,1965,God's Frozen People
BV772 .B74,1978,Take Care: A Guide for Responsible Living
BV772 .H179 1989,1989,The Steward
BV806 .C84,1954,Baptism in the New Testament
BV806 .C84,1950,Baptism in the New Testament
BV811 .B393,1963,The Teachings of the Church Reguarding Baptism
BV825 .C84,1958,Essays on the Lord's Supper
BV825.2 .C55,1961,Wherefore Art Thou Come
BV835 .B3,1957,"What Christianity Says About Sex, Love and Marriage"
BX 1754.3 .R2413 1984 ,1984,Is Christian Life Possible Today?
BX1378 .C65,1999,Hitler's Pope
BX1378 .G57 2002,2002,A Moral Reckoning
BX1378 .P49 2000,2000,"The Catholic Church and the Holocaust, 1930-1965"
BX1406.2 .G7,1969,The Hesitant Pilgrim
BX1442.2 .R36 1983,1983,Christians in the Nicaraguan Revolution
BX1530 .T3 1986,1986,"Religion, Revolution, and Regional Culture in Eighteenth-Century France: The Ecclesiastical Oath of 1791"
BX1746 .D64,1989,The Church in the Midst of Creation
BX1746 .K813,1967,The Church
BX1751.2 .B576 1986,1986,Essential Catholicism
BX1751.2 .B76,1975,Biblical Reflections on Crises Facing the Church
BX1751.2 .C457,2000,The Christian Theological Tradition
BX1751.2 .M47 1985,1985,Love and Living
BX1752 .G67 1982,1982,The Bottom Line Catechism
BX1752 .M313,1963,What I Believe
BX1753 .J87 1986,1986 P,Justice and Peace Education: Models for College and University Faculty
BX1793 .A253 1964,1964,Peace on Earth
BX1795 .A85 C39 1989,1989,Our Unfinished Business
BX1795 .A85 C39 1989,1989 P,Our Unfinished Business: The U.S. Catholic Bishops' Letters on Peace and the Economy
BX1795 .E27 C37 1986,1986,"God, Goods, and the Common Good"
BX1795 .E27 C37 1987,1986 P,Economic Justice for All: Pastoral Letter on Catholic Social Teaching and the U.S. Economy
BX1795.A85 C39 1983a,1983 P,The Challenge of Peace: God's Promise and Our Response
BX1966 .D8 N6213,1971,A New Catechism: Catholic Faith for Adults
BX1970 .B66,1963,Rite and Man
BX1970 .B68 1962,1962,Life and Liturgy
BX2179 .T4 C313,1964,The Way of Perfection
BX2182.2 .D393 1985,1985,Wellsprings: A Book of Spiritual Exercises
BX2182.2 .N67,1974,Out of Solitude
BX2182.2 .N68,1972 H,A Book of Elements: Reflections on Middle-Class Days
BX2183 .Q5713,1973,I've Met Jesus Christ
BX2215 .M4,1956,The Living Bread
BX2250 .P573,1962,The Theology of Sex in Marriage
BX2250 .S33513 1965,1965,Marriage: Human Reality and Saving Mystery
BX2347.72 .B6 B3713,1977,Basic Ecclesial Communities
BX2347.8 .W6 W42,1995,New Catholic Women
BX2349 .H42,1978,The Practice of the Presence of God
BX2350 .M54,1949,Seeds of Contemplation
BX2350.2 .D386 1984,1984,The Song of the Bird
BX2350.2 .D446 1992,1992,Awareness: The Perils and Oppertunities of Reality
BX2350.2 .D85 1987,1987,The Homing Spirit
BX2350.2 .F67,1979,"A Spirituality Named Compassion and the Healing of the Global Village, Humpty Dumpty and us"
BX2350.2 .M4494 1978,1978,No Man is an Island
BX2350.2 .M46,1961,New Seeds of Contemplation
BX2350.2 .N673 1986,1986,Lifesigns
BX2350.2 .N676 1986,1986,Reaching Out
BX2350.2 .Q613,1963,The Meaning of Sucess
BX2350.65 .F69 1990,1990,Creation Spirituality
BX2350.7 .M47,1978,What is Contemplation?
BX2435 .B68 1955,1955,The Meaning of the Monastic Life
BX2435 .M46 1971,1973,Contemplation in a World of Action
BX2461 .W6,1962,The Evolution of the Monastic Ideal
BX2461.2 .K55,1969,Christian Monasticism
BX2465 .B87 1993,1993,The Word in the Desert
BX324.52 .S25 1992,1992,Salvation in Christ
BX3775 .V623,1964,Seeds of the Desert
BX4075 .B3845 A29,1971 P,The Dark Night of Resistance
BX4075 .B3846 A3,1970,Prison Journals of a Priest Revolutionary
BX4655.2 .R33 1993,1993 H,The Radical Tradition: Revolutionary Saints in the Battle for Justice and Human Rights
BX4668.3 .M387 A3 1992,1992,With Eyes to See
BX4670 .M47 1995,1995,At Home in the World
BX4700 .C565,1998,The Life of Christina of Markyate a Twelfth Century Recluse
BX4705 .A542 A3,1978,The Seven Storey Mountain
BX4705 .B38125 A3 1997,1997,The Gift of Peace
BX4705 .B3845 A29,1972,The Dark Night of Resistance
BX4705 .B3845 A294 1971,1971,The Geography of Faith
